comunidad,sexo,edad,total,edad_min,edad_max
Cataluña,hombres,De 45 a 49 años,49.0,45.0,49.0
Cataluña,hombres,De 50 a 54 años,46.0,50.0,54.0
Cataluña,hombres,De 55 a 59 años,47.0,55.0,59.0
Cataluña,hombres,De 60 a 64 años,36.0,60.0,64.0
Cataluña,hombres,De 65 a 69 años,19.0,65.0,69.0
Cataluña,hombres,De 70 a 74 años,35.0,70.0,74.0
Cataluña,hombres,De 75 a 79 años,16.0,75.0,79.0
Cataluña,hombres,De 80 a 84 años,29.0,80.0,84.0
Cataluña,hombres,De 85 a 89 años,20.0,85.0,89.0
Cataluña,hombres,De 90 a 94 años,12.0,90.0,94.0
Cataluña,hombres,De 95 años y más,3.0,,
Cataluña,mujeres,Todas las edades,174.0,,
Cataluña,mujeres,Menores de 15 años,0.0,,
Cataluña,mujeres,De 15 a 29 años,18.0,15.0,29.0
Cataluña,mujeres,De 30 a 39 años,21.0,30.0,39.0
Cataluña,mujeres,De 40 a 44 años,8.0,40.0,44.0
Cataluña,mujeres,De 45 a 49 años,16.0,45.0,49.0
Cataluña,mujeres,De 50 a 54 años,23.0,50.0,54.0
Cataluña,mujeres,De 55 a 59 años,20.0,55.0,59.0
Cataluña,mujeres,De 60 a 64 años,19.0,60.0,64.0
Cataluña,mujeres,De 65 a 69 años,13.0,65.0,69.0
Cataluña,mujeres,De 70 a 74 años,13.0,70.0,74.0
Cataluña,mujeres,De 75 a 79 años,10.0,75.0,79.0
Cataluña,mujeres,De 80 a 84 años,7.0,80.0,84.0
Cataluña,mujeres,De 85 a 89 años,2.0,85.0,89.0
Cataluña,mujeres,De 90 a 94 años,2.0,90.0,94.0
Cataluña,mujeres,De 95 años y más,2.0,,
Comunitat Valenciana,ambos sexos,Todas las edades,445.0,,
Comunitat Valenciana,ambos sexos,Menores de 15 años,2.0,,
Comunitat Valenciana,ambos sexos,De 15 a 29 años,36.0,15.0,29.0
Comunitat Valenciana,ambos sexos,De 30 a 39 años,35.0,30.0,39.0
Comunitat Valenciana,ambos sexos,De 40 a 44 años,40.0,40.0,44.0
Comunitat Valenciana,ambos sexos,De 45 a 49 años,57.0,45.0,49.0
Comunitat Valenciana,ambos sexos,De 50 a 54 años,55.0,50.0,54.0
Comunitat Valenciana,ambos sexos,De 55 a 59 años,59.0,55.0,59.0
Comunitat Valenciana,ambos sexos,De 60 a 64 años,46.0,60.0,64.0
Comunitat Valenciana,ambos sexos,De 65 a 69 años,23.0,65.0,69.0
Comunitat Valenciana,ambos sexos,De 70 a 74 años,28.0,70.0,74.0
Comunitat Valenciana,ambos sexos,De 75 a 79 años,14.0,75.0,79.0
Comunitat Valenciana,ambos sexos,De 80 a 84 años,19.0,80.0,84.0
Comunitat Valenciana,ambos sexos,De 85 a 89 años,22.0,85.0,89.0
Comunitat Valenciana,ambos sexos,De 90 a 94 años,7.0,90.0,94.0
Comunitat Valenciana,ambos sexos,De 95 años y más,2.0,,
Comunitat Valenciana,hombres,Todas las edades,328.0,,
Comunitat Valenciana,hombres,Menores de 15 años,1.0,,
Comunitat Valenciana,hombres,De 15 a 29 años,25.0,15.0,29.0
Comunitat Valenciana,hombres,De 30 a 39 años,25.0,30.0,39.0
Comunitat Valenciana,hombres,De 40 a 44 años,32.0,40.0,44.0
Comunitat Valenciana,hombres,De 45 a 49 años,41.0,45.0,49.0
Comunitat Valenciana,hombres,De 50 a 54 años,41.0,50.0,54.0
Comunitat Valenciana,hombres,De 55 a 59 años,46.0,55.0,59.0
Comunitat Valenciana,hombres,De 60 a 64 años,33.0,60.0,64.0
Comunitat Valenciana,hombres,De 65 a 69 años,17.0,65.0,69.0
Comunitat Valenciana,hombres,De 70 a 74 años,18.0,70.0,74.0
Comunitat Valenciana,hombres,De 75 a 79 años,11.0,75.0,79.0
Comunitat Valenciana,hombres,De 80 a 84 años,13.0,80.0,84.0
Comunitat Valenciana,hombres,De 85 a 89 años,17.0,85.0,89.0
Comunitat Valenciana,hombres,De 90 a 94 años,6.0,90.0,94.0
Comunitat Valenciana,hombres,De 95 años y más,2.0,,
Comunitat Valenciana,mujeres,Todas las edades,117.0,,
Comunitat Valenciana,mujeres,Menores de 15 años,1.0,,
Comunitat Valenciana,mujeres,De 15 a 29 años,11.0,15.0,29.0
Comunitat Valenciana,mujeres,De 30 a 39 años,10.0,30.0,39.0
Comunitat Valenciana,mujeres,De 40 a 44 años,8.0,40.0,44.0
Comunitat Valenciana,mujeres,De 45 a 49 años,16.0,45.0,49.0
Comunitat Valenciana,mujeres,De 50 a 54 años,14.0,50.0,54.0
Comunitat Valenciana,mujeres,De 55 a 59 años,13.0,55.0,59.0
Comunitat Valenciana,mujeres,De 60 a 64 años,13.0,60.0,64.0
Comunitat Valenciana,mujeres,De 65 a 69 años,6.0,65.0,69.0
Comunitat Valenciana,mujeres,De 70 a 74 años,10.0,70.0,74.0
Comunitat Valenciana,mujeres,De 75 a 79 años,3.0,75.0,79.0
Comunitat Valenciana,mujeres,De 80 a 84 años,6.0,80.0,84.0
Comunitat Valenciana,mujeres,De 85 a 89 años,5.0,85.0,89.0
Comunitat Valenciana,mujeres,De 90 a 94 años,1.0,90.0,94.0
Comunitat Valenciana,mujeres,De 95 años y más,0.0,,
Extremadura,ambos sexos,Todas las edades,95.0,,
Extremadura,ambos sexos,Menores de 15 años,0.0,,
Extremadura,ambos sexos,De 15 a 29 años,3.0,15.0,29.0
Extremadura,ambos sexos,De 30 a 39 años,9.0,30.0,39.0
Extremadura,ambos sexos,De 40 a 44 años,9.0,40.0,44.0
Extremadura,ambos sexos,De 45 a 49 años,13.0,45.0,49.0
Extremadura,ambos sexos,De 50 a 54 años,7.0,50.0,54.0
Extremadura,ambos sexos,De 55 a 59 años,6.0,55.0,59.0
Extremadura,ambos sexos,De 60 a 64 años,11.0,60.0,64.0
Extremadura,ambos sexos,De 65 a 69 años,13.0,65.0,69.0
Extremadura,ambos sexos,De 70 a 74 años,6.0,70.0,74.0
Extremadura,ambos sexos,De 75 a 79 años,7.0,75.0,79.0
Extremadura,ambos sexos,De 80 a 84 años,5.0,80.0,84.0
Extremadura,ambos sexos,De 85 a 89 años,4.0,85.0,89.0
Extremadura,ambos sexos,De 90 a 94 años,2.0,90.0,94.0
Extremadura,ambos sexos,De 95 años y más,0.0,,
Extremadura,hombres,Todas las edades,74.0,,
Extremadura,hombres,Menores de 15 años,0.0,,
Extremadura,hombres,De 15 a 29 años,2.0,15.0,29.0
Extremadura,hombres,De 30 a 39 años,8.0,30.0,39.0
Extremadura,hombres,De 40 a 44 años,7.0,40.0,44.0
Extremadura,hombres,De 45 a 49 años,9.0,45.0,49.0
Extremadura,hombres,De 50 a 54 años,5.0,50.0,54.0
Extremadura,hombres,De 55 a 59 años,5.0,55.0,59.0
Extremadura,hombres,De 60 a 64 años,9.0,60.0,64.0
Extremadura,hombres,De 65 a 69 años,7.0,65.0,69.0
Extremadura,hombres,De 70 a 74 años,6.0,70.0,74.0
Extremadura,hombres,De 75 a 79 años,7.0,75.0,79.0
Extremadura,hombres,De 80 a 84 años,4.0,80.0,84.0
Extremadura,hombres,De 85 a 89 años,3.0,85.0,89.0
Extremadura,hombres,De 90 a 94 años,2.0,90.0,94.0
Extremadura,hombres,De 95 años y más,0.0,,
Extremadura,mujeres,Todas las edades,21.0,,
Extremadura,mujeres,Menores de 15 años,0.0,,
Extremadura,mujeres,De 15 a 29 años,1.0,15.0,29.0
Extremadura,mujeres,De 30 a 39 años,1.0,30.0,39.0
Extremadura,mujeres,De 40 a 44 años,2.0,40.0,44.0
Extremadura,mujeres,De 45 a 49 años,4.0,45.0,49.0
Extremadura,mujeres,De 50 a 54 años,2.0,50.0,54.0
Extremadura,mujeres,De 55 a 59 años,1.0,55.0,59.0
Extremadura,mujeres,De 60 a 64 años,2.0,60.0,64.0
Extremadura,mujeres,De 65 a 69 años,6.0,65.0,69.0
Extremadura,mujeres,De 70 a 74 años,0.0,70.0,74.0
Extremadura,mujeres,De 75 a 79 años,0.0,75.0,79.0
Extremadura,mujeres,De 80 a 84 años,1.0,80.0,84.0
Extremadura,mujeres,De 85 a 89 años,1.0,85.0,89.0
Extremadura,mujeres,De 90 a 94 años,0.0,90.0,94.0
Extremadura,mujeres,De 95 años y más,0.0,,
Galicia,ambos sexos,Todas las edades,328.0,,
Galicia,ambos sexos,Menores de 15 años,2.0,,
Galicia,ambos sexos,De 15 a 29 años,15.0,15.0,29.0
Galicia,ambos sexos,De 30 a 39 años,26.0,30.0,39.0
Galicia,ambos sexos,De 40 a 44 años,20.0,40.0,44.0
Galicia,ambos sexos,De 45 a 49 años,35.0,45.0,49.0
Galicia,ambos sexos,De 50 a 54 años,41.0,50.0,54.0
Galicia,ambos sexos,De 55 a 59 años,27.0,55.0,59.0
Galicia,ambos sexos,De 60 a 64 años,34.0,60.0,64.0
Galicia,ambos sexos,De 65 a 69 años,30.0,65.0,69.0
Galicia,ambos sexos,De 70 a 74 años,17.0,70.0,74.0
Galicia,ambos sexos,De 75 a 79 años,19.0,75.0,79.0
Galicia,ambos sexos,De 80 a 84 años,22.0,80.0,84.0
Galicia,ambos sexos,De 85 a 89 años,25.0,85.0,89.0
Galicia,ambos sexos,De 90 a 94 años,11.0,90.0,94.0
Galicia,ambos sexos,De 95 años y más,4.0,,
Galicia,hombres,Todas las edades,236.0,,
Galicia,hombres,Menores de 15 años,1.0,,
Galicia,hombres,De 15 a 29 años,8.0,15.0,29.0
Galicia,hombres,De 30 a 39 años,24.0,30.0,39.0
Galicia,hombres,De 40 a 44 años,15.0,40.0,44.0
Galicia,hombres,De 45 a 49 años,26.0,45.0,49.0
Galicia,hombres,De 50 a 54 años,26.0,50.0,54.0
Galicia,hombres,De 55 a 59 años,17.0,55.0,59.0
Galicia,hombres,De 60 a 64 años,24.0,60.0,64.0
Galicia,hombres,De 65 a 69 años,25.0,65.0,69.0
Galicia,hombres,De 70 a 74 años,11.0,70.0,74.0
Galicia,hombres,De 75 a 79 años,15.0,75.0,79.0
Galicia,hombres,De 80 a 84 años,15.0,80.0,84.0
Galicia,hombres,De 85 a 89 años,19.0,85.0,89.0
Galicia,hombres,De 90 a 94 años,9.0,90.0,94.0
Galicia,hombres,De 95 años y más,1.0,,
Galicia,mujeres,Todas las edades,92.0,,
Galicia,mujeres,Menores de 15 años,1.0,,
Galicia,mujeres,De 15 a 29 años,7.0,15.0,29.0
Galicia,mujeres,De 30 a 39 años,2.0,30.0,39.0
Galicia,mujeres,De 40 a 44 años,5.0,40.0,44.0
Galicia,mujeres,De 45 a 49 años,9.0,45.0,49.0
Galicia,mujeres,De 50 a 54 años,15.0,50.0,54.0
Galicia,mujeres,De 55 a 59 años,10.0,55.0,59.0
Galicia,mujeres,De 60 a 64 años,10.0,60.0,64.0
Galicia,mujeres,De 65 a 69 años,5.0,65.0,69.0
Galicia,mujeres,De 70 a 74 años,6.0,70.0,74.0
Galicia,mujeres,De 75 a 79 años,4.0,75.0,79.0
Galicia,mujeres,De 80 a 84 años,7.0,80.0,84.0
Galicia,mujeres,De 85 a 89 años,6.0,85.0,89.0
Galicia,mujeres,De 90 a 94 años,2.0,90.0,94.0
Galicia,mujeres,De 95 años y más,3.0,,
País Vasco,ambos sexos,Todas las edades,174.0,,
País Vasco,ambos sexos,Menores de 15 años,1.0,,
País Vasco,ambos sexos,De 15 a 29 años,14.0,15.0,29.0
País Vasco,ambos sexos,De 30 a 39 años,12.0,30.0,39.0
País Vasco,ambos sexos,De 40 a 44 años,13.0,40.0,44.0
País Vasco,ambos sexos,De 45 a 49 años,18.0,45.0,49.0
País Vasco,ambos sexos,De 50 a 54 años,15.0,50.0,54.0
País Vasco,ambos sexos,De 55 a 59 años,19.0,55.0,59.0
País Vasco,ambos sexos,De 60 a 64 años,20.0,60.0,64.0
País Vasco,ambos sexos,De 65 a 69 años,14.0,65.0,69.0
País Vasco,ambos sexos,De 70 a 74 años,8.0,70.0,74.0
País Vasco,ambos sexos,De 75 a 79 años,8.0,75.0,79.0
País Vasco,ambos sexos,De 80 a 84 años,15.0,80.0,84.0
País Vasco,ambos sexos,De 85 a 89 años,12.0,85.0,89.0
País Vasco,ambos sexos,De 90 a 94 años,4.0,90.0,94.0
País Vasco,ambos sexos,De 95 años y más,1.0,,
País Vasco,hombres,Todas las edades,124.0,,
País Vasco,hombres,Menores de 15 años,1.0,,
País Vasco,hombres,De 15 a 29 años,9.0,15.0,29.0
País Vasco,hombres,De 30 a 39 años,9.0,30.0,39.0
País Vasco,hombres,De 40 a 44 años,11.0,40.0,44.0
País Vasco,hombres,De 45 a 49 años,12.0,45.0,49.0
País Vasco,hombres,De 50 a 54 años,11.0,50.0,54.0
País Vasco,hombres,De 55 a 59 años,14.0,55.0,59.0
País Vasco,hombres,De 60 a 64 años,15.0,60.0,64.0
País Vasco,hombres,De 65 a 69 años,7.0,65.0,69.0
País Vasco,hombres,De 70 a 74 años,4.0,70.0,74.0
País Vasco,hombres,De 75 a 79 años,4.0,75.0,79.0
País Vasco,hombres,De 80 a 84 años,12.0,80.0,84.0
País Vasco,hombres,De 85 a 89 años,12.0,85.0,89.0
País Vasco,hombres,De 90 a 94 años,3.0,90.0,94.0
País Vasco,hombres,De 95 años y más,0.0,,
País Vasco,mujeres,Todas las edades,50.0,,
País Vasco,mujeres,Menores de 15 años,0.0,,
País Vasco,mujeres,De 15 a 29 años,5.0,15.0,29.0
País Vasco,mujeres,De 30 a 39 años,3.0,30.0,39.0
País Vasco,mujeres,De 40 a 44 años,2.0,40.0,44.0
País Vasco,mujeres,De 45 a 49 años,6.0,45.0,49.0
País Vasco,mujeres,De 50 a 54 años,4.0,50.0,54.0
País Vasco,mujeres,De 55 a 59 años,5.0,55.0,59.0
País Vasco,mujeres,De 60 a 64 años,5.0,60.0,64.0
País Vasco,mujeres,De 65 a 69 años,7.0,65.0,69.0
País Vasco,mujeres,De 70 a 74 años,4.0,70.0,74.0
País Vasco,mujeres,De 75 a 79 años,4.0,75.0,79.0
País Vasco,mujeres,De 80 a 84 años,3.0,80.0,84.0
País Vasco,mujeres,De 85 a 89 años,0.0,85.0,89.0
País Vasco,mujeres,De 90 a 94 años,1.0,90.0,94.0
País Vasco,mujeres,De 95 años y más,1.0,,
Ceuta,ambos sexos,Todas las edades,2.0,,
Ceuta,ambos sexos,Menores de 15 años,0.0,,
Ceuta,ambos sexos,De 15 a 29 años,0.0,15.0,29.0
Ceuta,ambos sexos,De 30 a 39 años,0.0,30.0,39.0
Ceuta,ambos sexos,De 40 a 44 años,0.0,40.0,44.0
Ceuta,ambos sexos,De 45 a 49 años,0.0,45.0,49.0
Ceuta,ambos sexos,De 50 a 54 años,0.0,50.0,54.0
Ceuta,ambos sexos,De 55 a 59 años,2.0,55.0,59.0
Ceuta,ambos sexos,De 60 a 64 años,0.0,60.0,64.0
Ceuta,ambos sexos,De 65 a 69 años,0.0,65.0,69.0
Ceuta,ambos sexos,De 70 a 74 años,0.0,70.0,74.0
Ceuta,ambos sexos,De 75 a 79 años,0.0,75.0,79.0
Ceuta,ambos sexos,De 80 a 84 años,0.0,80.0,84.0
Ceuta,ambos sexos,De 85 a 89 años,0.0,85.0,89.0
Ceuta,ambos sexos,De 90 a 94 años,0.0,90.0,94.0
Ceuta,ambos sexos,De 95 años y más,0.0,,
Ceuta,hombres,Todas las edades,1.0,,
Ceuta,hombres,Menores de 15 años,0.0,,
Ceuta,hombres,De 15 a 29 años,0.0,15.0,29.0
Ceuta,hombres,De 30 a 39 años,0.0,30.0,39.0
Ceuta,hombres,De 40 a 44 años,0.0,40.0,44.0
Ceuta,hombres,De 45 a 49 años,0.0,45.0,49.0
Ceuta,hombres,De 50 a 54 años,0.0,50.0,54.0
Ceuta,hombres,De 55 a 59 años,1.0,55.0,59.0
Ceuta,hombres,De 60 a 64 años,0.0,60.0,64.0
Ceuta,hombres,De 65 a 69 años,0.0,65.0,69.0
Ceuta,hombres,De 70 a 74 años,0.0,70.0,74.0
Ceuta,hombres,De 75 a 79 años,0.0,75.0,79.0
Ceuta,hombres,De 80 a 84 años,0.0,80.0,84.0
Ceuta,hombres,De 85 a 89 años,0.0,85.0,89.0
Ceuta,hombres,De 90 a 94 años,0.0,90.0,94.0
Ceuta,hombres,De 95 años y más,0.0,,
Ceuta,mujeres,Todas las edades,1.0,,
Ceuta,mujeres,Menores de 15 años,0.0,,
Ceuta,mujeres,De 15 a 29 años,0.0,15.0,29.0
Ceuta,mujeres,De 30 a 39 años,0.0,30.0,39.0
Ceuta,mujeres,De 40 a 44 años,0.0,40.0,44.0
Ceuta,mujeres,De 45 a 49 años,0.0,45.0,49.0
Ceuta,mujeres,De 50 a 54 años,0.0,50.0,54.0
Ceuta,mujeres,De 55 a 59 años,1.0,55.0,59.0
Ceuta,mujeres,De 60 a 64 años,0.0,60.0,64.0
Ceuta,mujeres,De 65 a 69 años,0.0,65.0,69.0
Ceuta,mujeres,De 70 a 74 años,0.0,70.0,74.0
Ceuta,mujeres,De 75 a 79 años,0.0,75.0,79.0
Ceuta,mujeres,De 80 a 84 años,0.0,80.0,84.0
Ceuta,mujeres,De 85 a 89 años,0.0,85.0,89.0
Ceuta,mujeres,De 90 a 94 años,0.0,90.0,94.0
Ceuta,mujeres,De 95 años y más,0.0,,
Melilla,ambos sexos,Todas las edades,1.0,,
Melilla,ambos sexos,Menores de 15 años,0.0,,
Melilla,ambos sexos,De 15 a 29 años,0.0,15.0,29.0
Melilla,ambos sexos,De 30 a 39 años,0.0,30.0,39.0
Melilla,ambos sexos,De 40 a 44 años,0.0,40.0,44.0
Melilla,ambos sexos,De 45 a 49 años,0.0,45.0,49.0
Melilla,ambos sexos,De 50 a 54 años,1.0,50.0,54.0
Melilla,ambos sexos,De 55 a 59 años,0.0,55.0,59.0
Melilla,ambos sexos,De 60 a 64 años,0.0,60.0,64.0
Melilla,ambos sexos,De 65 a 69 años,0.0,65.0,69.0
Melilla,ambos sexos,De 70 a 74 años,0.0,70.0,74.0
Melilla,ambos sexos,De 75 a 79 años,0.0,75.0,79.0
Melilla,ambos sexos,De 80 a 84 años,0.0,80.0,84.0
Melilla,ambos sexos,De 85 a 89 años,0.0,85.0,89.0
Melilla,ambos sexos,De 90 a 94 años,0.0,90.0,94.0
Melilla,ambos sexos,De 95 años y más,0.0,,
Melilla,hombres,Todas las edades,1.0,,
Melilla,hombres,Menores de 15 años,0.0,,
Melilla,hombres,De 15 a 29 años,0.0,15.0,29.0
Melilla,hombres,De 30 a 39 años,0.0,30.0,39.0
Melilla,hombres,De 40 a 44 años,0.0,40.0,44.0
Melilla,hombres,De 45 a 49 años,0.0,45.0,49.0
Melilla,hombres,De 50 a 54 años,1.0,50.0,54.0
Melilla,hombres,De 55 a 59 años,0.0,55.0,59.0
Melilla,hombres,De 60 a 64 años,0.0,60.0,64.0
Melilla,hombres,De 65 a 69 años,0.0,65.0,69.0
Melilla,hombres,De 70 a 74 años,0.0,70.0,74.0
Melilla,hombres,De 75 a 79 años,0.0,75.0,79.0
Melilla,hombres,De 80 a 84 años,0.0,80.0,84.0
Melilla,hombres,De 85 a 89 años,0.0,85.0,89.0
Melilla,hombres,De 90 a 94 años,0.0,90.0,94.0
Melilla,hombres,De 95 años y más,0.0,,
Melilla,mujeres,Todas las edades,0.0,,
Melilla,mujeres,Menores de 15 años,0.0,,
Melilla,mujeres,De 15 a 29 años,0.0,15.0,29.0
Melilla,mujeres,De 30 a 39 años,0.0,30.0,39.0
Melilla,mujeres,De 40 a 44 años,0.0,40.0,44.0
Melilla,mujeres,De 45 a 49 años,0.0,45.0,49.0
Melilla,mujeres,De 50 a 54 años,0.0,50.0,54.0
Melilla,mujeres,De 55 a 59 años,0.0,55.0,59.0
Melilla,mujeres,De 60 a 64 años,0.0,60.0,64.0
Melilla,mujeres,De 65 a 69 años,0.0,65.0,69.0
Melilla,mujeres,De 70 a 74 años,0.0,70.0,74.0
Melilla,mujeres,De 75 a 79 años,0.0,75.0,79.0
Melilla,mujeres,De 80 a 84 años,0.0,80.0,84.0
Melilla,mujeres,De 85 a 89 años,0.0,85.0,89.0
Melilla,mujeres,De 90 a 94 años,0.0,90.0,94.0
Melilla,mujeres,De 95 años y más,0.0,,
Extranjero,ambos sexos,Todas las edades,44.0,,
Extranjero,ambos sexos,Menores de 15 años,0.0,,
Extranjero,ambos sexos,De 15 a 29 años,9.0,15.0,29.0
Extranjero,ambos sexos,De 30 a 39 años,10.0,30.0,39.0
Extranjero,ambos sexos,De 40 a 44 años,3.0,40.0,44.0
Extranjero,ambos sexos,De 45 a 49 años,6.0,45.0,49.0
Extranjero,ambos sexos,De 50 a 54 años,5.0,50.0,54.0
Extranjero,ambos sexos,De 55 a 59 años,1.0,55.0,59.0
Extranjero,ambos sexos,De 60 a 64 años,3.0,60.0,64.0
Extranjero,ambos sexos,De 65 a 69 años,4.0,65.0,69.0
Extranjero,ambos sexos,De 70 a 74 años,1.0,70.0,74.0
Extranjero,ambos sexos,De 75 a 79 años,0.0,75.0,79.0
Extranjero,ambos sexos,De 80 a 84 años,1.0,80.0,84.0
Extranjero,ambos sexos,De 85 a 89 años,1.0,85.0,89.0
Extranjero,ambos sexos,De 90 a 94 años,0.0,90.0,94.0
Extranjero,ambos sexos,De 95 años y más,0.0,,
Extranjero,hombres,Todas las edades,37.0,,
Extranjero,hombres,Menores de 15 años,0.0,,
Extranjero,hombres,De 15 a 29 años,7.0,15.0,29.0
Extranjero,hombres,De 30 a 39 años,8.0,30.0,39.0
Extranjero,hombres,De 40 a 44 años,3.0,40.0,44.0
Extranjero,hombres,De 45 a 49 años,5.0,45.0,49.0
Extranjero,hombres,De 50 a 54 años,4.0,50.0,54.0
Extranjero,hombres,De 55 a 59 años,1.0,55.0,59.0
Extranjero,hombres,De 60 a 64 años,3.0,60.0,64.0
Extranjero,hombres,De 65 a 69 años,3.0,65.0,69.0
Extranjero,hombres,De 70 a 74 años,1.0,70.0,74.0
Extranjero,hombres,De 75 a 79 años,0.0,75.0,79.0
Extranjero,hombres,De 80 a 84 años,1.0,80.0,84.0
Extranjero,hombres,De 85 a 89 años,1.0,85.0,89.0
Extranjero,hombres,De 90 a 94 años,0.0,90.0,94.0
Extranjero,hombres,De 95 años y más,0.0,,
Extranjero,mujeres,Todas las edades,7.0,,
Extranjero,mujeres,Menores de 15 años,0.0,,
Extranjero,mujeres,De 15 a 29 años,2.0,15.0,29.0
Extranjero,mujeres,De 30 a 39 años,2.0,30.0,39.0
Extranjero,mujeres,De 40 a 44 años,0.0,40.0,44.0
Extranjero,mujeres,De 45 a 49 años,1.0,45.0,49.0
Extranjero,mujeres,De 50 a 54 años,1.0,50.0,54.0
Extranjero,mujeres,De 55 a 59 años,0.0,55.0,59.0
Extranjero,mujeres,De 60 a 64 años,0.0,60.0,64.0
Extranjero,mujeres,De 65 a 69 años,1.0,65.0,69.0
Extranjero,mujeres,De 70 a 74 años,0.0,70.0,74.0
Extranjero,mujeres,De 75 a 79 años,0.0,75.0,79.0
Extranjero,mujeres,De 80 a 84 años,0.0,80.0,84.0
Extranjero,mujeres,De 85 a 89 años,0.0,85.0,89.0
Extranjero,mujeres,De 90 a 94 años,0.0,90.0,94.0
Extranjero,mujeres,De 95 años y más,0.0,,
